z psi1 psi2 psi3 psi4 psi5
-1.619119119119119210e+00 1.053693023006630210e+04 -1.790505815476577482e+04 1.988854456182726790e+04 1.589088914336361449e+04 7.114317926384289422e+03
-1.614114114114114207e+00 1.059015566120702351e+04 -1.796035746795548766e+04 1.986968347809752231e+04 1.573759948876123963e+04 6.820471521480663796e+03
-1.609109109109109204e+00 1.064327678051458679e+04 -1.801494915294478051e+04 1.984906097875926571e+04 1.558182964755163084e+04 6.524945627873808917e+03
-1.604104104104104200e+00 1.069629306475199701e+04 -1.806883105885133045e+04 1.982667889196405667e+04 1.542360416847708620e+04 6.227813016544190759e+03
-1.599099099099099197e+00 1.074920399171483405e+04 -1.812200106275764483e+04 1.980253920184797971e+04 1.526294798727915077e+04 5.929146854114146663e+03
-1.594094094094094194e+00 1.080200904023648945e+04 -1.817445706979488023e+04 1.977664404835593450e+04 1.509988642276899009e+04 5.629020684831220024e+03
-1.589089089089089191e+00 1.085470769019326326e+04 -1.822619701322528999e+04 1.974899572705187165e+04 1.493444517283716232e+04 5.327508412458430939e+03
-1.584084084084083965e+00 1.090729942250932982e+04 -1.827721885452342394e+04 1.971959668891501497e+04 1.476665031040353642e+04 5.024684282075966621e+03
-1.579079079079078962e+00 1.095978371916212927e+04 -1.832752058345688783e+04 1.968844954012307426e+04 1.459652827930866260e+04 4.720622861799031853e+03
-1.574074074074073959e+00 1.101216006318731161e+04 -1.837710021816528388e+04 1.965555704182093541e+04 1.442410589014610559e+04 4.415399024415953136e+03
-1.569069069069068956e+00 1.106442793868383887e+04 -1.842595580523831086e+04 1.962092210987590443e+04 1.424941031603721967e+04 4.109087928951335925e+03
